X,CH1,
Second,Volt,
1.07e-02,-1.60e-02,
1.07e-02,-2.40e-02,
1.07e-02,-1.60e-02,
1.08e-02,-1.60e-02,
1.08e-02,-8.00e-03,
1.08e-02,-8.00e-03,
1.08e-02,0.00e+00,
1.08e-02,-8.00e-03,
1.09e-02,0.00e+00,
1.09e-02,0.00e+00,
1.09e-02,8.00e-03,
1.09e-02,8.00e-03,
1.09e-02,0.00e+00,
1.10e-02,8.00e-03,
1.10e-02,0.00e+00,
1.10e-02,8.00e-03,
1.10e-02,2.40e-02,
1.10e-02,1.60e-02,
1.11e-02,2.40e-02,
1.11e-02,2.40e-02,
1.11e-02,1.60e-02,
1.11e-02,1.60e-02,
1.11e-02,0.00e+00,
1.12e-02,0.00e+00,
1.12e-02,1.60e-02,
1.12e-02,2.40e-02,
1.12e-02,3.20e-02,
1.12e-02,3.20e-02,
1.13e-02,3.20e-02,
1.13e-02,2.40e-02,
1.13e-02,0.00e+00,
1.13e-02,0.00e+00,
1.13e-02,0.00e+00,
1.14e-02,0.00e+00,
1.14e-02,1.60e-02,
1.14e-02,2.40e-02,
1.14e-02,8.00e-03,
1.14e-02,1.60e-02,
1.15e-02,0.00e+00,
1.15e-02,0.00e+00,
1.15e-02,-8.00e-03,
1.15e-02,0.00e+00,
1.15e-02,8.00e-03,
1.16e-02,0.00e+00,
1.16e-02,8.00e-03,
1.16e-02,8.00e-03,
1.16e-02,0.00e+00,
1.16e-02,0.00e+00,
1.17e-02,-8.00e-03,
1.17e-02,0.00e+00,
1.17e-02,-8.00e-03,
1.17e-02,-8.00e-03,
1.17e-02,-8.00e-03,
1.18e-02,-8.00e-03,
1.18e-02,0.00e+00,
1.18e-02,0.00e+00,
1.18e-02,-8.00e-03,
1.18e-02,0.00e+00,
1.19e-02,1.60e-02,
1.19e-02,1.60e-02,
1.19e-02,0.00e+00,
1.19e-02,0.00e+00,
1.19e-02,-8.00e-03,
1.20e-02,-8.00e-03,
1.20e-02,0.00e+00,
1.20e-02,0.00e+00,
1.20e-02,0.00e+00,
1.20e-02,0.00e+00,
1.21e-02,-8.00e-03,
1.21e-02,-8.00e-03,
1.21e-02,-8.00e-03,
1.21e-02,-8.00e-03,
1.21e-02,0.00e+00,
1.22e-02,-8.00e-03,
1.22e-02,0.00e+00,
1.22e-02,0.00e+00,
1.22e-02,-8.00e-03,
1.22e-02,-8.00e-03,
1.23e-02,0.00e+00,
1.23e-02,-8.00e-03,
1.23e-02,0.00e+00,
1.23e-02,0.00e+00,
1.23e-02,0.00e+00,
1.24e-02,0.00e+00,
1.24e-02,-8.00e-03,
1.24e-02,0.00e+00,
1.24e-02,0.00e+00,
1.24e-02,0.00e+00,
1.25e-02,8.00e-03,
1.25e-02,8.00e-03,
1.25e-02,1.60e-02,
1.25e-02,1.60e-02,
1.25e-02,2.40e-02,
1.26e-02,1.60e-02,
1.26e-02,8.00e-03,
1.26e-02,8.00e-03,
1.26e-02,2.40e-02,
1.26e-02,8.00e-03,
1.27e-02,2.40e-02,
1.27e-02,1.60e-02,
1.27e-02,0.00e+00,
1.27e-02,0.00e+00,
1.27e-02,8.00e-03,
1.28e-02,0.00e+00,
1.28e-02,0.00e+00,
1.28e-02,0.00e+00,
1.28e-02,-8.00e-03,
1.28e-02,-8.00e-03,
1.29e-02,0.00e+00,
